# Computed as GDP/population.  Values prior to the base year (2010) are 
# historical; values subsequent are from SSP projections.
scenario,GCAM_region_ID,year,value
SSP1,13,2005,25.7003006948159
SSP2,13,2005,25.7003006948159
SSP3,13,2005,25.7003006948159
SSP4,13,2005,25.7003006948159
SSP5,13,2005,25.7003006948159
SSP1,13,2006,26.35266008531338
SSP2,13,2006,26.35266008531338
SSP3,13,2006,26.35266008531338
SSP4,13,2006,26.35266008531338
SSP5,13,2006,26.35266008531338
SSP1,13,2007,26.952293967300147
SSP2,13,2007,26.952293967300147
SSP3,13,2007,26.952293967300147
SSP4,13,2007,26.952293967300147
SSP5,13,2007,26.952293967300147
SSP1,13,2008,26.874076228774722
SSP2,13,2008,26.874076228774722
SSP3,13,2008,26.874076228774722
SSP4,13,2008,26.874076228774722
SSP5,13,2008,26.874076228774722
SSP1,13,2009,25.563503872753394
SSP2,13,2009,25.563503872753394
SSP3,13,2009,25.563503872753394
SSP4,13,2009,25.563503872753394
SSP5,13,2009,25.563503872753394
SSP1,13,2010,25.99328320162147
SSP2,13,2010,25.99328320162147
SSP3,13,2010,25.99328320162147
SSP4,13,2010,25.99328320162147
SSP5,13,2010,25.99328320162147
SSP1,13,2011,26.297301757562373
SSP2,13,2011,26.297301757562373
SSP3,13,2011,26.297301757562373
SSP4,13,2011,26.297301757562373
SSP5,13,2011,26.297301757562373
SSP1,13,2012,26.06605848430715
SSP2,13,2012,26.06605848430715
SSP3,13,2012,26.06605848430715
SSP4,13,2012,26.06605848430715
SSP5,13,2012,26.06605848430715
SSP1,13,2013,26.021546940455536
SSP2,13,2013,26.021546940455536
SSP3,13,2013,26.021546940455536
SSP4,13,2013,26.021546940455536
SSP5,13,2013,26.021546940455536
SSP1,13,2014,26.359866920492355
SSP2,13,2014,26.359866920492355
SSP3,13,2014,26.359866920492355
SSP4,13,2014,26.359866920492355
SSP5,13,2014,26.359866920492355
SSP1,13,2015,26.84542647474634
SSP2,13,2015,26.84542647474634
SSP3,13,2015,26.84542647474634
SSP4,13,2015,26.84542647474634
SSP5,13,2015,26.84542647474634
SSP1,14,1971,1.6000987525643038
SSP2,14,1971,1.6000987525643038
SSP3,14,1971,1.6000987525643038
SSP4,14,1971,1.6000987525643038
SSP5,14,1971,1.6000987525643038
SSP1,14,1972,1.6367968390941994
SSP2,14,1972,1.6367968390941994
SSP3,14,1972,1.6367968390941994
SSP4,14,1972,1.6367968390941994
SSP5,14,1972,1.6367968390941994
SSP1,14,1973,1.674685240134802
SSP2,14,1973,1.674685240134802
SSP3,14,1973,1.674685240134802
SSP4,14,1973,1.674685240134802
SSP5,14,1973,1.674685240134802
SSP1,14,1974,1.7141275657990223
SSP2,14,1974,1.7141275657990223
SSP3,14,1974,1.7141275657990223
SSP4,14,1974,1.7141275657990223
SSP5,14,1974,1.7141275657990223
SSP1,14,1975,1.7554092598179976
SSP2,14,1975,1.7554092598179976
SSP3,14,1975,1.7554092598179976
SSP4,14,1975,1.7554092598179976
SSP5,14,1975,1.7554092598179976
SSP1,14,1976,1.798687397128821
SSP2,14,1976,1.798687397128821
SSP3,14,1976,1.798687397128821
SSP4,14,1976,1.798687397128821
SSP5,14,1976,1.798687397128821
SSP1,14,1977,1.8439248270486837
SSP2,14,1977,1.8439248270486837
SSP3,14,1977,1.8439248270486837
SSP4,14,1977,1.8439248270486837
SSP5,14,1977,1.8439248270486837
SSP1,14,1978,1.890975936671805
SSP2,14,1978,1.890975936671805
SSP3,14,1978,1.890975936671805
SSP4,14,1978,1.890975936671805
SSP5,14,1978,1.890975936671805
SSP1,14,1979,1.939578116111047
SSP2,14,1979,1.939578116111047
SSP3,14,1979,1.939578116111047
SSP4,14,1979,1.939578116111047
SSP5,14,1979,1.939578116111047
SSP1,14,1980,2.0129984530177105
SSP2,14,1980,2.0129984530177105
SSP3,14,1980,2.0129984530177105
SSP4,14,1980,2.0129984530177105
SSP5,14,1980,2.0129984530177105
SSP1,14,1981,2.061963843397262
SSP2,14,1981,2.061963843397262
SSP3,14,1981,2.061963843397262
SSP4,14,1981,2.061963843397262
SSP5,14,1981,2.061963843397262
SSP1,14,1982,2.122313467380113
SSP2,14,1982,2.122313467380113
SSP3,14,1982,2.122313467380113
SSP4,14,1982,2.122313467380113
SSP5,14,1982,2.122313467380113
SSP1,14,1983,2.178859991446429
SSP2,14,1983,2.178859991446429
SSP3,14,1983,2.178859991446429
SSP4,14,1983,2.178859991446429
SSP5,14,1983,2.178859991446429
SSP1,14,1984,2.2364367818941657
SSP2,14,1984,2.2364367818941657
SSP3,14,1984,2.2364367818941657
SSP4,14,1984,2.2364367818941657
SSP5,14,1984,2.2364367818941657
SSP1,14,1985,2.287985662267441
SSP2,14,1985,2.287985662267441
SSP3,14,1985,2.287985662267441
SSP4,14,1985,2.287985662267441
SSP5,14,1985,2.287985662267441
SSP1,14,1986,2.353608790033624
SSP2,14,1986,2.353608790033624
SSP3,14,1986,2.353608790033624
SSP4,14,1986,2.353608790033624
SSP5,14,1986,2.353608790033624
SSP1,14,1987,2.4623431435299095
SSP2,14,1987,2.4623431435299095
SSP3,14,1987,2.4623431435299095
SSP4,14,1987,2.4623431435299095
SSP5,14,1987,2.4623431435299095
SSP1,14,1988,2.5183458154801364
SSP2,14,1988,2.5183458154801364
SSP3,14,1988,2.5183458154801364
SSP4,14,1988,2.5183458154801364
SSP5,14,1988,2.5183458154801364
SSP1,14,1989,2.6086436446306083
SSP2,14,1989,2.6086436446306083
SSP3,14,1989,2.6086436446306083
SSP4,14,1989,2.6086436446306083
SSP5,14,1989,2.6086436446306083
SSP1,14,1990,2.4729011710534223
SSP2,14,1990,2.4729011710534223
SSP3,14,1990,2.4729011710534223
SSP4,14,1990,2.4729011710534223
SSP5,14,1990,2.4729011710534223
SSP1,14,1991,2.279537073928302
SSP2,14,1991,2.279537073928302
SSP3,14,1991,2.279537073928302
SSP4,14,1991,2.279537073928302
SSP5,14,1991,2.279537073928302
SSP1,14,1992,2.044072201059814
SSP2,14,1992,2.044072201059814
SSP3,14,1992,2.044072201059814
SSP4,14,1992,2.044072201059814
SSP5,14,1992,2.044072201059814
SSP1,14,1993,1.7830945920218195
SSP2,14,1993,1.7830945920218195
SSP3,14,1993,1.7830945920218195
SSP4,14,1993,1.7830945920218195
SSP5,14,1993,1.7830945920218195
SSP1,14,1994,1.4032621722215646
SSP2,14,1994,1.4032621722215646
SSP3,14,1994,1.4032621722215646
SSP4,14,1994,1.4032621722215646
SSP5,14,1994,1.4032621722215646
SSP1,14,1995,1.2461925290149665
SSP2,14,1995,1.2461925290149665
SSP3,14,1995,1.2461925290149665
SSP4,14,1995,1.2461925290149665
SSP5,14,1995,1.2461925290149665
SSP1,14,1996,1.1566438457651274
SSP2,14,1996,1.1566438457651274
SSP3,14,1996,1.1566438457651274
SSP4,14,1996,1.1566438457651274
SSP5,14,1996,1.1566438457651274
SSP1,14,1997,1.1629540960901594
SSP2,14,1997,1.1629540960901594
SSP3,14,1997,1.1629540960901594
SSP4,14,1997,1.1629540960901594
SSP5,14,1997,1.1629540960901594
SSP1,14,1998,1.1732526154074974
SSP2,14,1998,1.1732526154074974
SSP3,14,1998,1.1732526154074974
SSP4,14,1998,1.1732526154074974
SSP5,14,1998,1.1732526154074974
SSP1,14,1999,1.1891433829611993
SSP2,14,1999,1.1891433829611993
SSP3,14,1999,1.1891433829611993
SSP4,14,1999,1.1891433829611993
SSP5,14,1999,1.1891433829611993
SSP1,14,2000,1.2681944000095582
SSP2,14,2000,1.2681944000095582
SSP3,14,2000,1.2681944000095582
SSP4,14,2000,1.2681944000095582
SSP5,14,2000,1.2681944000095582
SSP1,14,2001,1.3818258791809168
SSP2,14,2001,1.3818258791809168
SSP3,14,2001,1.3818258791809168
SSP4,14,2001,1.3818258791809168
SSP5,14,2001,1.3818258791809168
SSP1,14,2002,1.4658793858075219
SSP2,14,2002,1.4658793858075219
SSP3,14,2002,1.4658793858075219
SSP4,14,2002,1.4658793858075219
SSP5,14,2002,1.4658793858075219
SSP1,14,2003,1.6069076804631832
SSP2,14,2003,1.6069076804631832
SSP3,14,2003,1.6069076804631832
SSP4,14,2003,1.6069076804631832
SSP5,14,2003,1.6069076804631832
SSP1,14,2004,1.8096221496794993
SSP2,14,2004,1.8096221496794993
SSP3,14,2004,1.8096221496794993
SSP4,14,2004,1.8096221496794993
SSP5,14,2004,1.8096221496794993
SSP1,14,2005,1.8996641812395183
SSP2,14,2005,1.8996641812395183
SSP3,14,2005,1.8996641812395183
SSP4,14,2005,1.8996641812395183
SSP5,14,2005,1.8996641812395183
SSP1,14,2006,2.0604242367428944
SSP2,14,2006,2.0604242367428944
SSP3,14,2006,2.0604242367428944
SSP4,14,2006,2.0604242367428944
SSP5,14,2006,2.0604242367428944
SSP1,14,2007,2.2346839174868562
SSP2,14,2007,2.2346839174868562
SSP3,14,2007,2.2346839174868562
SSP4,14,2007,2.2346839174868562
SSP5,14,2007,2.2346839174868562
SSP1,14,2008,2.3409371053027823
SSP2,14,2008,2.3409371053027823
SSP3,14,2008,2.3409371053027823
SSP4,14,2008,2.3409371053027823
SSP5,14,2008,2.3409371053027823
SSP1,14,2009,2.095655146228326
SSP2,14,2009,2.095655146228326
SSP3,14,2009,2.095655146228326
SSP4,14,2009,2.095655146228326
SSP5,14,2009,2.095655146228326
SSP1,14,2010,2.2141091896733007
SSP2,14,2010,2.2141091896733007
SSP3,14,2010,2.2141091896733007
SSP4,14,2010,2.2141091896733007
SSP5,14,2010,2.2141091896733007
SSP1,14,2011,2.343771498815154
SSP2,14,2011,2.343771498815154
SSP3,14,2011,2.343771498815154
SSP4,14,2011,2.343771498815154
SSP5,14,2011,2.343771498815154
SSP1,14,2012,2.365481509520859
SSP2,14,2012,2.365481509520859
SSP3,14,2012,2.365481509520859
SSP4,14,2012,2.365481509520859
SSP5,14,2012,2.365481509520859
SSP1,14,2013,2.3851112085592905
SSP2,14,2013,2.3851112085592905
SSP3,14,2013,2.3851112085592905
SSP4,14,2013,2.3851112085592905
SSP5,14,2013,2.3851112085592905
SSP1,14,2014,2.301631309771675
SSP2,14,2014,2.301631309771675
SSP3,14,2014,2.301631309771675
SSP4,14,2014,2.301631309771675
SSP5,14,2014,2.301631309771675
SSP1,14,2015,2.133094367828319
SSP2,14,2015,2.133094367828319
SSP3,14,2015,2.133094367828319
SSP4,14,2015,2.133094367828319
SSP5,14,2015,2.133094367828319
SSP1,15,1971,2.3844269426958338
SSP2,15,1971,2.3844269426958338
SSP3,15,1971,2.3844269426958338
SSP4,15,1971,2.3844269426958338
SSP5,15,1971,2.3844269426958338
SSP1,15,1972,2.4828019416247997
SSP2,15,1972,2.4828019416247997
SSP3,15,1972,2.4828019416247997
SSP4,15,1972,2.4828019416247997
SSP5,15,1972,2.4828019416247997
SSP1,15,1973,2.511571780779687
SSP2,15,1973,2.511571780779687
SSP3,15,1973,2.511571780779687
SSP4,15,1973,2.511571780779687
SSP5,15,1973,2.511571780779687
SSP1,15,1974,2.583337378974043
SSP2,15,1974,2.583337378974043
SSP3,15,1974,2.583337378974043
SSP4,15,1974,2.583337378974043
SSP5,15,1974,2.583337378974043
SSP1,15,1975,2.687798827615703
SSP2,15,1975,2.687798827615703
SSP3,15,1975,2.687798827615703
SSP4,15,1975,2.687798827615703
SSP5,15,1975,2.687798827615703
SSP1,15,1976,2.863357118364991
SSP2,15,1976,2.863357118364991
SSP3,15,1976,2.863357118364991
SSP4,15,1976,2.863357118364991
SSP5,15,1976,2.863357118364991
SSP1,15,1977,2.9156216723531143
SSP2,15,1977,2.9156216723531143
SSP3,15,1977,2.9156216723531143
SSP4,15,1977,2.9156216723531143
SSP5,15,1977,2.9156216723531143
SSP1,15,1978,2.928548565689735
SSP2,15,1978,2.928548565689735
SSP3,15,1978,2.928548565689735
SSP4,15,1978,2.928548565689735
SSP5,15,1978,2.928548565689735
SSP1,15,1979,2.8899774196103016
SSP2,15,1979,2.8899774196103016
SSP3,15,1979,2.8899774196103016
SSP4,15,1979,2.8899774196103016
SSP5,15,1979,2.8899774196103016
SSP1,15,1980,2.958349347754956
SSP2,15,1980,2.958349347754956
SSP3,15,1980,2.958349347754956
SSP4,15,1980,2.958349347754956
SSP5,15,1980,2.958349347754956
SSP1,15,1981,3.028862612078974
SSP2,15,1981,3.028862612078974
SSP3,15,1981,3.028862612078974
SSP4,15,1981,3.028862612078974
SSP5,15,1981,3.028862612078974
SSP1,15,1982,3.0677310026990914
SSP2,15,1982,3.0677310026990914
SSP3,15,1982,3.0677310026990914
SSP4,15,1982,3.0677310026990914
SSP5,15,1982,3.0677310026990914
SSP1,15,1983,3.1463901442203066
SSP2,15,1983,3.1463901442203066
SSP3,15,1983,3.1463901442203066
SSP4,15,1983,3.1463901442203066
SSP5,15,1983,3.1463901442203066
SSP1,15,1984,3.273163446538838
SSP2,15,1984,3.273163446538838
SSP3,15,1984,3.273163446538838
SSP4,15,1984,3.273163446538838
SSP5,15,1984,3.273163446538838
SSP1,15,1985,3.3494670001748905
SSP2,15,1985,3.3494670001748905
SSP3,15,1985,3.3494670001748905
SSP4,15,1985,3.3494670001748905
SSP5,15,1985,3.3494670001748905
SSP1,15,1986,3.4840843751781807
SSP2,15,1986,3.4840843751781807
SSP3,15,1986,3.4840843751781807
SSP4,15,1986,3.4840843751781807
SSP5,15,1986,3.4840843751781807
SSP1,15,1987,3.6974090040555843
SSP2,15,1987,3.6974090040555843
SSP3,15,1987,3.6974090040555843
SSP4,15,1987,3.6974090040555843
SSP5,15,1987,3.6974090040555843
SSP1,15,1988,3.710176481466415
SSP2,15,1988,3.710176481466415
SSP3,15,1988,3.710176481466415
SSP4,15,1988,3.710176481466415
SSP5,15,1988,3.710176481466415
SSP1,15,1989,3.8299066008779445
SSP2,15,1989,3.8299066008779445
SSP3,15,1989,3.8299066008779445
SSP4,15,1989,3.8299066008779445
SSP5,15,1989,3.8299066008779445
SSP1,15,1990,4.130105834950418
SSP2,15,1990,4.130105834950418
SSP3,15,1990,4.130105834950418
SSP4,15,1990,4.130105834950418
SSP5,15,1990,4.130105834950418
SSP1,15,1991,3.932411426166649
SSP2,15,1991,3.932411426166649
SSP3,15,1991,3.932411426166649
SSP4,15,1991,3.932411426166649
SSP5,15,1991,3.932411426166649
SSP1,15,1992,3.8907678377149852
SSP2,15,1992,3.8907678377149852
SSP3,15,1992,3.8907678377149852
SSP4,15,1992,3.8907678377149852
SSP5,15,1992,3.8907678377149852
SSP1,15,1993,3.9885770872114716
SSP2,15,1993,3.9885770872114716
SSP3,15,1993,3.9885770872114716
