# Population by region and gSSP SSP in future periods
scenario,GCAM_region_ID,year,value
SSP3,25,2083,57312.79906324434
SSP3,25,2084,57569.2561368862
SSP3,25,2085,57825.713210528054
SSP3,25,2086,58079.35220515739
SSP3,25,2087,58332.99119978672
SSP3,25,2088,58586.63019441605
SSP3,25,2089,58840.269189045386
SSP3,25,2090,59093.90818367472
SSP3,25,2091,59345.58650740377
SSP3,25,2092,59597.26483113283
SSP3,25,2093,59848.94315486188
SSP3,25,2094,60100.621478590925
SSP3,25,2095,60352.299802319976
SSP3,25,2096,60601.37608493636
SSP3,25,2097,60850.45236755273
SSP3,25,2098,61099.5286501691
SSP3,25,2099,61348.60493278548
SSP3,25,2100,61597.68121540185
SSP3,26,2016,86713.72194763138
SSP3,26,2017,87804.85189526273
SSP3,26,2018,88895.98184289409
SSP3,26,2019,89987.11179052547
SSP3,26,2020,91078.24173815682
SSP3,26,2021,92210.97144692135
SSP3,26,2022,93343.70115568586
SSP3,26,2023,94476.43086445038
SSP3,26,2024,95609.1605732149
SSP3,26,2025,96741.89028197942
SSP3,26,2026,97856.78165324939
SSP3,26,2027,98971.67302451936
SSP3,26,2028,100086.56439578935
SSP3,26,2029,101201.45576705932
SSP3,26,2030,102316.34713832929
SSP3,26,2031,103354.9124681617
SSP3,26,2032,104393.4777979941
SSP3,26,2033,105432.04312782649
SSP3,26,2034,106470.60845765889
SSP3,26,2035,107509.1737874913
SSP3,26,2036,108485.75472187634
SSP3,26,2037,109462.33565626136
SSP3,26,2038,110438.91659064642
SSP3,26,2039,111415.49752503146
SSP3,26,2040,112392.0784594165
SSP3,26,2041,113322.02175690394
SSP3,26,2042,114251.96505439139
SSP3,26,2043,115181.90835187882
SSP3,26,2044,116111.85164936628
SSP3,26,2045,117041.79494685371
SSP3,26,2046,117934.26979459697
SSP3,26,2047,118826.7446423402
SSP3,26,2048,119719.21949008346
SSP3,26,2049,120611.6943378267
SSP3,26,2050,121504.16918556995
SSP3,26,2051,122339.53585385771
SSP3,26,2052,123174.90252214546
SSP3,26,2053,124010.26919043325
SSP3,26,2054,124845.635858721
SSP3,26,2055,125681.00252700876
SSP3,26,2056,126459.59702782848
SSP3,26,2057,127238.1915286482
SSP3,26,2058,128016.78602946793
SSP3,26,2059,128795.38053028764
SSP3,26,2060,129573.97503110737
SSP3,26,2061,130323.43368940537
SSP3,26,2062,131072.8923477034
