# EIA international shipping data converted to EJ, aggregated by country, 
# adding USSR data to Russia
Country,year,value,iso,GCAM_region_ID
Wake Island,1986,0.016328616536543248,usa,1
Western Sahara,1986,1.845160108813673e-4,esh,3
Western Sahara,1986,1.845160108813673e-4,esh,3
Yemen,1986,0.0058270560687027515,yem,21
Yemen,1986,0.0058270560687027515,yem,21
Zambia,1986,0.0014007288538873995,zmb,4
Zambia,1986,0.0014007288538873995,zmb,4
Zimbabwe,1986,0.004402290683646113,zwe,4
Zimbabwe,1986,0.004402290683646113,zwe,4
Afghanistan,1987,4.002082439678284e-4,afg,27
Albania,1987,0,alb,15
Algeria,1987,0.018674581978660967,dza,3
American Samoa,1987,0,asm,29
Angola,1987,0.03398765507330387,ago,4
Antigua and Barbuda,1987,0.0014007288538873995,atg,9
Argentina,1987,0.025550832632900998,arg,31
Armenia,1987,0,arm,10
Aruba,1987,0,abw,9
Australia,1987,0.023862266318261962,aus,6
Austria,1987,0,aut,13
Azerbaijan,1987,0,aze,10
"Bahamas, The",1987,0.014801094980738111,bhs,9
Bahrain,1987,0.02201145341823056,bhr,21
Bangladesh,1987,6.222408933374393e-4,bgd,27
Barbados,1987,0.005947238724548946,brb,9
Belarus,1987,0,blr,14
Belgium,1987,0.13632318652633868,bel,13
Belize,1987,6.003123659517426e-4,blz,9
Benin,1987,8.004164879356568e-4,ben,5
Bermuda,1987,0.0016052172391565831,bmu,9
Bhutan,1987,0,btn,27
Bolivia,1987,0,bol,26
Bosnia and Herzegovina,1987,0,bih,15
Botswana,1987,0,bwa,4
Brazil,1987,0.038903125697413235,bra,7
Brunei,1987,0,brn,29
Bulgaria,1987,0,bgr,12
Burkina Faso,1987,0,bfa,5
Burma (Myanmar),1987,0,mmr,29
Burundi,1987,8.694524100201074e-5,bdi,2
Cambodia,1987,0,khm,29
Cameroon,1987,0.0024012494638069705,cmr,5
Canada,1987,0.021885261629592055,can,8
Cape Verde,1987,4.002082439678284e-4,cpv,5
Cayman Islands,1987,4.346261529490616e-5,cym,9
Central African Republic,1987,6.003123659517426e-4,caf,5
Chad,1987,0.001000520609919571,tcd,5
Chile,1987,0,chl,26
China,1987,0,chn,11
Colombia,1987,0.0077722123535734124,col,32
Comoros,1987,0,com,2
Congo (Brazzaville),1987,4.242447751370674e-4,cog,5
Congo (Kinshasa),1987,0.006347446968516775,cod,5
Cook Islands,1987,0,cok,29
Costa Rica,1987,0,cri,9
Cote dIvoire (IvoryCoast),1987,0.0030015618297587134,civ,5
Croatia,1987,0,hrv,15
Cuba,1987,0.007340155705806343,cub,9
Cyprus,1987,0.006371483499686015,cyp,12
