# For the SSP scenarios, SSP GDP projections are scaled to match 
# historical values in the base year (2010).  For the gSSP scenarios 
# IMF growth projections are applied from 2010-2020, and the SSP projections 
# are scaled to match the 2020 values resulting from this process.
GCAM_region_ID,year,value,scenario
17,2076,22726649.0243971,gSSP1
17,2077,23047053.21699514,gSSP1
17,2078,23367457.40959318,gSSP1
17,2079,23687861.60219122,gSSP1
17,2080,24008265.794789262,gSSP1
17,2081,24283646.158947647,gSSP1
17,2082,24559026.523106035,gSSP1
17,2083,24834406.887264416,gSSP1
17,2084,25109787.251422804,gSSP1
17,2085,25385167.61558119,gSSP1
17,2086,25610262.924873434,gSSP1
17,2087,25835358.234165687,gSSP1
17,2088,26060453.543457925,gSSP1
17,2089,26285548.85275018,gSSP1
17,2090,26510644.162042424,gSSP1
17,2091,26684680.136100788,gSSP1
17,2092,26858716.110159148,gSSP1
17,2093,27032752.08421752,gSSP1
17,2094,27206788.05827588,gSSP1
17,2095,27380824.032334235,gSSP1
17,2096,27499705.394178394,gSSP1
17,2097,27618586.756022554,gSSP1
17,2098,27737468.117866706,gSSP1
17,2099,27856349.47971087,gSSP1
17,2100,27975230.841555025,gSSP1
17,2025,3076454.361600588,gSSP2
17,2026,3259916.7833389374,gSSP2
17,2027,3443379.2050772877,gSSP2
17,2028,3626841.626815638,gSSP2
17,2029,3810304.0485539883,gSSP2
17,2030,3993766.470292338,gSSP2
17,2031,4202533.5708186375,gSSP2
17,2032,4411300.671344938,gSSP2
17,2033,4620067.771871237,gSSP2
17,2034,4828834.872397537,gSSP2
17,2035,5037601.972923837,gSSP2
17,2036,5276599.220922118,gSSP2
17,2037,5515596.468920398,gSSP2
17,2038,5754593.716918677,gSSP2
17,2039,5993590.964916958,gSSP2
17,2040,6232588.212915238,gSSP2
17,2041,6498342.432574695,gSSP2
17,2042,6764096.652234153,gSSP2
17,2043,7029850.871893608,gSSP2
17,2044,7295605.091553066,gSSP2
17,2045,7561359.311212523,gSSP2
17,2046,7850940.922378811,gSSP2
17,2047,8140522.533545099,gSSP2
17,2048,8430104.144711386,gSSP2
17,2049,8719685.755877674,gSSP2
17,2050,9009267.367043963,gSSP2
17,2051,9322963.543686293,gSSP2
17,2052,9636659.720328622,gSSP2
17,2053,9950355.896970952,gSSP2
17,2054,10264052.073613282,gSSP2
17,2055,10577748.25025561,gSSP2
17,2056,10914356.57814929,gSSP2
17,2057,11250964.90604297,gSSP2
17,2058,11587573.233936649,gSSP2
17,2059,11924181.561830327,gSSP2
17,2060,12260789.889724007,gSSP2
17,2061,12615874.384911288,gSSP2
17,2062,12970958.88009857,gSSP2
17,2063,13326043.37528585,gSSP2
17,2064,13681127.870473132,gSSP2
17,2065,14036212.365660414,gSSP2
17,2066,14402571.432579411,gSSP2
17,2067,14768930.499498406,gSSP2
17,2068,15135289.566417404,gSSP2
17,2069,15501648.633336399,gSSP2
17,2070,15868007.700255396,gSSP2
17,2071,16239595.243981319,gSSP2
17,2072,16611182.787707249,gSSP2
17,2073,16982770.331433177,gSSP2
17,2074,17354357.875159103,gSSP2
17,2075,17725945.418885034,gSSP2
17,2076,18098612.236847032,gSSP2
17,2077,18471279.054809034,gSSP2
17,2078,18843945.872771032,gSSP2
17,2079,19216612.690733034,gSSP2
17,2080,19589279.508695036,gSSP2
17,2081,19959348.216844004,gSSP2
17,2082,20329416.92499297,gSSP2
17,2083,20699485.63314194,gSSP2
17,2084,21069554.341290906,gSSP2
17,2085,21439623.049439874,gSSP2
17,2086,21806486.6500742,gSSP2
17,2087,22173350.25070852,gSSP2
17,2088,22540213.851342853,gSSP2
17,2089,22907077.45197718,gSSP2
17,2090,23273941.052611504,gSSP2
17,2091,23635195.82959838,gSSP2
17,2092,23996450.606585264,gSSP2
17,2093,24357705.383572135,gSSP2
17,2094,24718960.16055902,gSSP2
17,2095,25080214.9375459,gSSP2
17,2096,25428779.163792703,gSSP2
17,2097,25777343.390039507,gSSP2
17,2098,26125907.616286326,gSSP2
17,2099,26474471.84253313,gSSP2
17,2100,26823036.068779934,gSSP2
17,2025,3061386.6692612073,gSSP3
17,2026,3201442.569340321,gSSP3
17,2027,3341498.469419434,gSSP3
17,2028,3481554.369498547,gSSP3
17,2029,3621610.2695776606,gSSP3
17,2030,3761666.1696567736,gSSP3
17,2031,3891686.0059426758,gSSP3
17,2032,4021705.842228579,gSSP3
17,2033,4151725.6785144815,gSSP3
17,2034,4281745.514800384,gSSP3
17,2035,4411765.351086287,gSSP3
17,2036,4541308.336385122,gSSP3
17,2037,4670851.321683958,gSSP3
17,2038,4800394.306982793,gSSP3
17,2039,4929937.292281629,gSSP3
17,2040,5059480.277580464,gSSP3
17,2041,5185325.818307464,gSSP3
17,2042,5311171.359034465,gSSP3
17,2043,5437016.899761464,gSSP3
17,2044,5562862.440488466,gSSP3
17,2045,5688707.981215465,gSSP3
17,2046,5810053.79474557,gSSP3
17,2047,5931399.608275673,gSSP3
17,2048,6052745.4218057785,gSSP3
17,2049,6174091.235335882,gSSP3
17,2050,6295437.048865986,gSSP3
17,2051,6415078.728260618,gSSP3
17,2052,6534720.407655251,gSSP3
17,2053,6654362.087049883,gSSP3
17,2054,6774003.766444516,gSSP3
17,2055,6893645.445839149,gSSP3
17,2056,7013580.56686845,gSSP3
17,2057,7133515.687897751,gSSP3
17,2058,7253450.808927054,gSSP3
17,2059,7373385.929956354,gSSP3
17,2060,7493321.050985655,gSSP3
17,2061,7614819.616781637,gSSP3
17,2062,7736318.182577618,gSSP3
17,2063,7857816.748373601,gSSP3
17,2064,7979315.314169582,gSSP3
17,2065,8100813.879965564,gSSP3
17,2066,8222915.257386707,gSSP3
17,2067,8345016.634807849,gSSP3
17,2068,8467118.01222899,gSSP3
17,2069,8589219.389650133,gSSP3
17,2070,8711320.767071275,gSSP3
