# Units converted to constant 1990 USD
iso,year,value
rwa,1969,762.0991994941759
wsm,1969,213.76945083036125
stp,1969,46.727312784896405
sau,1969,43033.25608589126
sen,1969,2538.711161962438
srb,1969,14093.86519645133
syc,1969,102.9071138577963
sle,1969,792.9805823001154
sgp,1969,7818.953974866877
svk,1969,20174.040250639686
svn,1969,8981.334949664593
slb,1969,58.46933635806798
kor,1969,36940.006265992226
esp,1969,284881.4655358077
lka,1969,4933.016088410507
kna,1969,76.26447510200452
lca,1969,175.91701458491812
vct,1969,98.57080382134143
sdn,1969,7186.364881496922
sur,1969,1575.578534049258
swz,1969,307.9888380494166
swe,1969,125457.9182669604
che,1969,187638.9180594935
syr,1969,4314.570434840595
twn,1969,17818.207591408893
tjk,1969,3333.391067999723
tza,1969,2893.808473221959
tha,1969,19341.886166210563
tgo,1969,788.5759298959701
ton,1969,131.41373132156372
tto,1969,4184.281911787079
tun,1969,3913.5927020282347
tur,1969,90186.32994734292
tkm,1969,2722.553450400607
uga,1969,1508.7923405419826
ukr,1969,76902.84295156141
are,1969,24356.04562274626
gbr,1969,585753.9896306101
usa,1969,3146677.6249999995
ury,1969,10040.661439128242
uzb,1969,6856.415054781122
vut,1969,132.93039095049446
ven,1969,101697.33520810898
vnm,1969,10250.31946325367
yem,1969,4611.690857401132
zmb,1969,4348.737000958298
afg,1970,2356.531255441064
alb,1970,2659.8809924620377
dza,1970,26086.618181899008
ago,1970,11694.342237875537
atg,1970,147.79795639738788
arg,1970,117582.64780628523
arm,1970,2421.966433803261
aus,1970,214078.3108356961
aut,1970,92628.84394937808
aze,1970,11233.697528082113
bhs,1970,2211.623666650201
bhr,1970,3983.447705327945
bgd,1970,15061.397859041108
brb,1970,1548.7891175250193
blr,1970,10378.85720789164
bel,1970,127913.88964641724
blz,1970,106.44541460665276
ben,1970,1057.0163063395935
btn,1970,69.66877694450757
bol,1970,4136.7542808508115
bih,1970,713.9798397565721
bwa,1970,339.70405051520925
bra,1970,293848.1688859031
brn,1970,3482.3629167070067
bgr,1970,15359.340237104943
bfa,1970,1037.0934506772307
mmr,1970,7566.074020904753
bdi,1970,604.6108099050591
khm,1970,647.9163206103475
cmr,1970,3574.8309318026886
can,1970,344205.2134250798
cpv,1970,70.85243244978808
caf,1970,603.4896256567313
tcd,1970,1524.2643665247322
chl,1970,27599.45169371968
