# Values are calculated using L1321.in_EJ_R_cement_F_Y then added GCAM region information and supplysector, subsector, technology, and input information
region,supplysector,subsector,stub.technology,year,minicam.energy.input,calibrated.value,share.weight.year,subs.share.weight,tech.share.weight
Brazil,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0.0013244,1990,1,1
Brazil,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0.0022925,2005,1,1
Brazil,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0.0031499,2010,1,1
Brazil,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0.0031499,2015,1,1
Canada,process heat cement,biomass,biomass,1975,delivered biomass,0.01205,1975,1,1
Canada,process heat cement,biomass,biomass,1990,delivered biomass,0.0129992,1990,1,1
Canada,process heat cement,biomass,biomass,2005,delivered biomass,0.0133129,2005,1,1
Canada,process heat cement,biomass,biomass,2010,delivered biomass,0.0101435,2010,1,1
Canada,process heat cement,biomass,biomass,2015,delivered biomass,0.0101435,2015,1,1
Canada,process heat cement,coal,coal,1975,delivered coal,0.0250641,1975,1,1
Canada,process heat cement,coal,coal,1990,delivered coal,0.0270384,1990,1,1
Canada,process heat cement,coal,coal,2005,delivered coal,0.0276908,2005,1,1
Canada,process heat cement,coal,coal,2010,delivered coal,0.0210984,2010,1,1
Canada,process heat cement,coal,coal,2015,delivered coal,0.0210984,2015,1,1
Canada,process heat cement,gas,gas,1975,wholesale gas,0.008676,1975,1,1
Canada,process heat cement,gas,gas,1990,wholesale gas,0.0093595,1990,1,1
Canada,process heat cement,gas,gas,2005,wholesale gas,0.0095853,2005,1,1
Canada,process heat cement,gas,gas,2010,wholesale gas,0.0073033,2010,1,1
Canada,process heat cement,gas,gas,2015,wholesale gas,0.0073033,2015,1,1
Canada,process heat cement,refined liquids,refined liquids,1975,refined liquids industrial,0.00241,1975,1,1
Canada,process heat cement,refined liquids,refined liquids,1990,refined liquids industrial,0.0025998,1990,1,1
Canada,process heat cement,refined liquids,refined liquids,2005,refined liquids industrial,0.0026626,2005,1,1
Canada,process heat cement,refined liquids,refined liquids,2010,refined liquids industrial,0.0020287,2010,1,1
Canada,process heat cement,refined liquids,refined liquids,2015,refined liquids industrial,0.0020287,2015,1,1
Central America and Caribbean,process heat cement,biomass,biomass,1975,delivered biomass,0.0054892,1975,1,1
