# Future population calculated as final historical year (2010) population times ratio of SSP future years to SSP 2010
scenario,year,iso,value
SSP5,2062,stp,140.0671560901844
SSP5,2062,sur,564.5391585011807
SSP5,2062,svk,6383.163176262281
SSP5,2062,svn,2823.4788567946066
SSP5,2062,swe,17412.047180014735
SSP5,2062,swz,1313.8036553392624
SSP5,2062,syc,94.978
SSP5,2062,syr,23953.470123563748
SSP5,2062,tca,35.980999999999995
SSP5,2062,tcd,25250.12470790499
SSP5,2062,tgo,10925.186533951506
SSP5,2062,tha,65762.79028618708
SSP5,2062,tjk,5165.262297317671
SSP5,2062,tkl,1.252
SSP5,2062,tkm,5500.702196357264
SSP5,2062,tls,1025.2726463577337
SSP5,2062,ton,47.99322357324594
SSP5,2062,tto,998.2636894475894
SSP5,2062,tun,11707.305152761104
SSP5,2062,tur,87039.36888100865
SSP5,2062,tuv,11.099
SSP5,2062,twn,23557.477000000003
SSP5,2062,tza,88917.07471259173
SSP5,2062,uga,83417.19733987036
SSP5,2062,ukr,38394.367256119796
SSP5,2062,ury,2634.0423764671445
SSP5,2062,usa,531353.898415928
SSP5,2062,uzb,27867.677145060366
SSP5,2062,vct,70.36160120991046
SSP5,2062,ven,36578.75900488802
SSP5,2062,vgb,29.152
SSP5,2062,vir,99.82211712466327
SSP5,2062,vnm,91142.49912592744
SSP5,2062,vut,401.0837091313024
SSP5,2062,wlf,12.266
SSP5,2062,wsm,87.64172199371656
SSP5,2062,yem,46460.81652895086
SSP5,2062,zaf,69209.12289074341
SSP5,2062,zmb,28731.178509297995
SSP5,2062,zwe,8975.441544998996
SSP5,2063,abw,149.47718104684066
SSP5,2063,afg,58399.783583185854
SSP5,2063,ago,53854.53615236462
SSP5,2063,aia,14.279
SSP5,2063,alb,2443.2764657434755
SSP5,2063,and,78.01100000000001
SSP5,2063,ant,200.689
SSP5,2063,are,18093.524628718566
SSP5,2063,arg,43876.28963419785
SSP5,2063,arm,1766.2830504678711
SSP5,2063,asm,55.812
SSP5,2063,atg,93.566
SSP5,2063,aus,51393.39517356642
SSP5,2063,aut,11793.544012586703
SSP5,2063,aze,10003.492010581718
SSP5,2063,bdi,19086.158386002156
SSP5,2063,bel,16880.825714995168
SSP5,2063,ben,19865.99707324723
SSP5,2063,bfa,32565.883853237647
SSP5,2063,bgd,161402.71812945855
SSP5,2063,bgr,5939.841262685533
SSP5,2063,bhr,3114.298470036042
SSP5,2063,bhs,487.64914186478757
SSP5,2063,bih,2703.2195736401363
SSP5,2063,blr,7348.409529937636
SSP5,2063,blz,341.36414476454956
